id,start,end,measurable,room,subject,home
618647,2021-03-19 17:38:13.855+00,2021-03-19 17:38:13.855+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618648,2021-03-19 17:43:05.489+00,2021-03-19 17:43:05.489+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618650,2021-03-19 17:43:05.489+00,2021-03-19 17:43:05.489+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618651,2021-03-19 18:26:39.726+00,2021-03-19 18:26:39.726+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618652,2021-03-19 18:26:39.726+00,2021-03-19 18:26:39.726+00,use,kitchen,food2,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618655,2021-03-19 19:05:07.266+00,2021-03-19 19:05:07.266+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618656,2021-03-19 19:05:07.266+00,2021-03-19 19:05:07.266+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618658,2021-03-19 19:09:35.531+00,2021-03-19 19:09:35.531+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618659,2021-03-19 19:09:35.531+00,2021-03-19 19:09:35.531+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618661,2021-03-19 19:19:17.364+00,2021-03-19 19:19:17.364+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618662,2021-03-19 19:19:17.364+00,2021-03-19 19:19:17.364+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618663,2021-03-19 19:20:15.458+00,2021-03-19 19:20:15.458+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618665,2021-03-19 19:20:15.458+00,2021-03-19 19:20:15.458+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618667,2021-03-19 19:24:26.218+00,2021-03-19 19:24:26.218+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618669,2021-03-19 19:24:26.218+00,2021-03-19 19:24:26.218+00,use,living,food,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618670,2021-03-19 19:34:53.98+00,2021-03-19 19:34:53.98+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618672,2021-03-19 19:34:53.98+00,2021-03-19 19:34:53.98+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618674,2021-03-19 19:36:14.094+00,2021-03-19 19:36:14.094+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618676,2021-03-19 19:36:14.094+00,2021-03-19 19:36:14.094+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618678,2021-03-19 19:36:21.08+00,2021-03-19 19:36:21.08+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618680,2021-03-19 19:36:21.08+00,2021-03-19 19:36:21.08+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618682,2021-03-19 19:44:20.267+00,2021-03-19 19:44:20.267+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618683,2021-03-19 19:44:20.267+00,2021-03-19 19:44:20.267+00,use,kitchen,utensil,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618685,2021-03-19 19:45:06.341+00,2021-03-19 19:45:06.341+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618687,2021-03-19 19:45:06.341+00,2021-03-19 19:45:06.341+00,use,kitchen,plates,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618689,2021-03-19 20:29:58.802+00,2021-03-19 20:29:58.802+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618691,2021-03-19 20:29:58.802+00,2021-03-19 20:29:58.802+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618693,2021-03-19 20:34:59.579+00,2021-03-19 20:34:59.579+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618695,2021-03-19 20:34:59.579+00,2021-03-19 20:34:59.579+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618697,2021-03-19 20:41:57.021+00,2021-03-19 20:41:57.021+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618699,2021-03-19 20:41:57.021+00,2021-03-19 20:41:57.021+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618701,2021-03-19 21:12:30.886+00,2021-03-19 21:12:30.886+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
618703,2021-03-19 21:12:30.886+00,2021-03-19 21:12:30.886+00,use,entrance,door,openhabianpi03-60962692-0d0d-41a3-a62b-1eddccd2a088
